title,description,genre
HAYFEVER,"Help Thomas the Allergic Mailman gather all his lost letters in this challenging and unique 2D platformer! In Hayfever, the player takes control of Thomas – a young postman with a strong work ethic. There is just one tiny little issue… Thomas suffers from terrible (and we mean TERRIBLE) allergies.","Genre(s): Action, Platformer, 2D"
HAZEL SKY,"Hazel Sky is a heartfelt adventure about a young engineer facing his destiny and his desires. Fix ramshackle flying machines and jump, climb, swing, and slide through a beautiful, mysterious world.","Genre(s): Action Adventure, Adventure, General"
HEADBANGERS IN HOLIDAY HELL,"Christmas. Christmas never changes.

Soon those overzealous little freaks will swarm the city led by that bearded maniac. But this time, we fight back.

Inspired by Zombies Ate My Neighbors and Beavis&Butthead's heavy metal comedy, this is twin-stick mayhem like you've never experienced before.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
HEADLANDER,"Headlander is a a retro-futuristic, side-scrolling, action-adventure game set in a world inspired by 70s science fiction. It is a world of automation, a utopia gone wrong in which all of humanity have transferred their minds into robotic imposter bodies and are ruled by a deranged computer.

You are the last known human in the universe, and all that's left of you is a disembodied head. Seeking clues to your fractured past, you must travel through a hostile world of machines, using a special helmet that allows you to dock into and take control of any robotic host body. As you launch from one body to the next, you'll start to discover that things are not quite what they appear to be, and the fate of humanity has yet to be decided...","Genre(s): Action, Platformer, 2D"
HEADLINER: NOVINEWS,"Award-winning adventure where you control national news. A stack of news article sits on your desk. It’s time to make decisions. After work, emerge on the streets of Novistan, shaped by the very news you publish. Watch the city change day by day and influence the lives of the four main characters.","Genre(s): Adventure, General"
HEADSPUN,"After waking from a five week coma, Theo finds his life in disrepair. With no memory of the accident, it’s up to Ted and Teddy – the conscious and subconscious voices in his head – to work out what happened, and put his life back on track.Headspun is a game about recovery, discovery, and the ongoing battle between logic and emotion.","Genre(s): Adventure, General"
HEAL: CONSOLE EDITION,"Heal is an experimental adventure game from the creator of DISTRAINT series, exploring the themes of aging and dementia. The narrative is driven by a strong and obscure atmosphere, with instructions and dialog used only sparingly. Wake up from a dreamless sleep, explore the mysteries of your surroundings and solve puzzles.

Features
* Side-scrolling 2D with unique, handmade graphics
* Atmospheric sound design
* An abstract world filled with puzzles
* Narrative driven by the atmosphere","Genre(s): Adventure, Point-and-Click"
HEART&SLASH,N/A,"Genre(s): Action, General, Beat-'Em-Up, 3D"
HEARTZ: CO-HOPE PUZZLES,N/A,"Genre(s): Action, Platformer, 2D"
HEAVEN DUST,"When you awake, you find yourself in a mansion, where was the secret research center, is now a maze full of horrible zombies and deadly traps. You'll have to escape by overcoming your fears, collecting items, solving innovative puzzles and revealing the cruel truth.","Genre(s): Action Adventure, Survival"
HEAVY FIRE: RED SHADOW,"In Heavy Fire: Red Shadow, tension between a bold North Korea, which has managed to unify with South Korea entirely on its terms, and the United States has gone beyond its breaking point.","Genre(s): Action, Shooter, First-Person, Arcade"
HEAVY METAL MACHINES,"Heavy Metal Machines is a FREE TO PLAY Car Battle MOBA that unites unique gameplay on a post-apocalyptic world of Heavy Metal. Join a growing competitive community, choose your role and battle for your life through multiple arenas. Be fast, and become a Legendary Metalhead!","Genre(s): Simulation, Vehicle, Combat"
HEIDELBERG 1693,"Carve a bloody path through hordes of monsters and the undead in the ravaged city of 17th century Heidelberg. Manually reload your musket after every shot as you bring battle to the doorstep of hell and overcome these trials using what limited resources you can scavenge on the battlefield.

Face the unknown and fight a vast number of hand-crafted and -animated enemies in over 20 lovingly detailed levels. Confront deadly bosses inspired by real historical figures as seen through the distorted lens of a nightmarish world where black magic and dark science rule supreme. Challenge the Moon King and send him back into the pits!","Genre(s): Action, Platformer, 2D"
HEIRS OF THE KINGS,"Laura, a girl who has lost her memory, and a mysterious pursuer.
Grant, a young man, happens to come across Laura, and, in order to protect her, becomes separated from his father.

Grant's father seems to know something about this mystery. With the words of his father ringing in his heart, Grant's journey begins, for Laura, and to save the world from danger!

Strengthen Abilities with Soul Maps
Each character has their own unique Soul Map. You can select and strengthen abilities as you desire. Soul maps expand alongside character growth. Develop the party members' abilities just as you wish!

Weapon Customization and Arenas
The game is full of satisfying content! Collect material to customize your weapons. Test your strength at one of the Arenas!

Theme Song
The game features a theme song sung by Eri Kitamura, famous as a voice actor in Japanese animation!","Genre(s): Role-Playing, Japanese-Style"
HELHEIM HASSLE,"Helheim Hassle is a narrative adventure game with puzzle platforming elements. Play as Bjørn, a pacifist Viking that can detach and combine limbs at will to solve challenging puzzles and get out of uncomfortable situations involving desperate Norse Gods, Goblins, Dragons, and angry skeletons.","Genre(s): Adventure, General"
HELIBORNE,"Fly some of the best helicopters in the world from the classic machines of the 1950s to the modern gunships of the 21st century. Play missions with your friends and compete with players from all around the world in various multiplayer modes! You will be able to take part in a dynamic battlefield where you'll support the movement of ground forces that fortify positions and create supply lines.

Heliborne marks the great return of a nearly forgotten genre - helicopter action games! Here you'll get to dive into historical conflicts, explore maps inspired by real-world locations and engage in ruthless air-to-air and air-to-ground combat.

By flying over 40 helicopters distributed over 3 different classes you'll fight other pilots as well as tanks, troops, and anti-aircraft artillery. You will test your skill in multiplayer modes, such as Skirmish (King-of-the-Hill style mode) or Frontline (as bases are captured by players, ground vehicles spawn in convoys and move across the map to fortify bases and positions), or play alone the new single player missions.","Genre(s): Simulation, Flight, Combat"
HELICOPTER MASTER,N/A,"Genre(s): Action, Shooter, Shoot-'Em-Up, Vertical"
HELL LET LOOSE,"You've never played World War 2 the way it was meant to be played... with lumbering tanks dominating the battlefield, crucial supply chains fuelling the frontlines, being a cog in the machine of colossal combined arms warfare. Hell Let Loose puts you in the chaos of war, complete with deep player-controlled vehicles, a dynamically evolving front line, and crucial unit-focused gameplay that commands the tide of battle.

Featuring sweeping maps modelled on real reconnaissance images and satellite data, the entire battlefield is divided up into large capture sectors -- allowing for emergent and constantly unique gameplay that pits two forces of fifty players in a fight to the death across fields, bridges, forests and towns on an ever-evolving front line. When a sector is captured, it will generate one of three resources for your team, creating a complex meta-game that will influence your team's march to victory.","Genre(s): Action, Shooter, First-Person, Arcade"
